ticker,name,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y
159828,国泰中证医疗ETF,0.8706,人民币,-3.50%,-6.46%,-15.29%,-25.36%,-12.74%,--,-14.84%,--
159847,易基中证医疗,0.7771,人民币,-3.85%,-7.44%,-17.48%,--,--,--,--,--
512120,华安中证医药,2.1,人民币,-1.42%,-1.54%,-3.66%,-8.79%,-6.33%,-1.70%,-5.46%,-7.15%
159996,国泰中证家电ETF,1.2631,人民币,-0.98%,-4.55%,-0.06%,-9.44%,-6.57%,-5.76%,-7.24%,0.44%
515060,华夏房地产ETF,0.9753,人民币,1.66%,1.85%,10.38%,-1.86%,-1.49%,-7.10%,0.77%,-11.25%
512200,南方房地产ETF,0.7855,人民币,2.14%,2.55%,13.52%,-9.78%,-12.62%,-19.53%,-10.58%,-24.26%
512970,平安湾区ETF,1.3953,人民币,0.13%,-2.47%,-0.81%,-4.79%,-5.65%,-2.92%,-4.73%,2.21%
159986,弘毅消费100ETF,1.3812,人民币,-0.93%,-2.32%,-2.74%,-7.60%,-8.28%,-2.43%,-7.13%,-2.24%
515630,鹏华中证800证保,1.2313,人民币,1.11%,1.94%,9.34%,0.27%,0.06%,-8.60%,-5.73%,-4.95%
159827,银华农业50,0.9484,人民币,1.14%,0.07%,5.85%,-7.64%,-18.21%,--,-8.33%,--
159825,富国农业ETF,0.911,人民币,1.19%,-0.02%,5.57%,-10.30%,-22.38%,--,-12.35%,--
560660,新华云50ETF,0.9243,人民币,-0.48%,-5.85%,--,--,--,--,--,--
159890,招商中证云ETF,1.0225,人民币,-0.47%,-4.71%,-6.48%,-3.33%,--,--,--,--
516510,易基云计算,1.0077,人民币,-0.46%,-4.81%,-6.16%,-2.22%,--,--,--,--
516630,华夏云计算50,0.9978,人民币,-0.13%,-0.22%,--,--,--,--,--,--
512010,易基医药ETF,0.6592,人民币,-5.14%,-7.54%,-16.76%,-32.31%,-21.21%,-1.38%,-18.57%,-13.90%
159855,银华影视ETF,0.901,人民币,0.48%,1.11%,5.11%,-13.23%,-9.69%,--,--,--
517350,广发中概科技ETF,0.8749,人民币,-0.99%,0.11%,-4.77%,-14.36%,--,--,--,--
159965,中融央视50,1.3904,人民币,-0.03%,-0.39%,-0.35%,-7.68%,-8.54%,-4.62%,-6.19%,-0.83%
516610,大成医服ETF,0.8362,人民币,-2.89%,-7.85%,-16.17%,-29.85%,--,--,--,--
159873,天弘医疗设备ETF,0.9435,人民币,-2.65%,-7.32%,-14.83%,-27.14%,--,--,--,--
159891,建信医疗,0.7662,人民币,-3.26%,-9.18%,-17.82%,-30.41%,--,--,--,--
516790,华泰医疗保健ETF,0.9413,人民币,-4.18%,-7.67%,--,--,--,--,--,--
515960,嘉实医药健康100ETF,1.1936,人民币,-1.82%,-3.85%,-7.50%,-19.29%,-13.71%,-4.47%,-11.13%,-11.27%
516600,工银消服ETF,0.7826,人民币,-1.47%,-3.53%,-4.38%,-23.64%,-20.61%,--,--,--
510150,招商上证消费,0.7244,人民币,-1.99%,-3.48%,-5.43%,-23.26%,-17.01%,-0.72%,-18.00%,-3.16%
